"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年6月6日","1,852.85","1,854.25","1,860.50","1,851.00","-","-0.06%"
"2022年6月5日","1,854.00","1,853.40","1,856.15","1,852.85","-","0.21%"
"2022年6月3日","1,850.20","1,872.60","1,878.60","1,849.70","115.34K","-1.13%"
"2022年6月2日","1,871.40","1,849.90","1,874.40","1,846.50","127.47K","1.23%"
"2022年6月1日","1,848.70","1,840.00","1,853.00","1,830.20","158.04K","0.02%"
"2022年5月31日","1,848.40","1,856.50","1,867.90","1,837.60","201.80K","-0.38%"
"2022年5月30日","1,855.40","1,847.79","1,862.10","1,846.54","-","0.42%"
"2022年5月29日","1,847.65","1,850.55","1,851.76","1,845.90","-","-0.52%"
"2022年5月27日","1,857.30","1,855.10","1,866.90","1,851.90","123.76K","0.18%"
"2022年5月26日","1,853.90","1,857.90","1,859.00","1,842.50","92.09K","0.08%"
